Date,Weight,Reps
2025-04-21,95,16
2025-04-21,105,14
2025-04-21,100,10
2025-05-12,95,16
2025-05-12,115,16
2025-05-12,125,10
2025-05-12,115,16
2025-05-19,135,15
2025-05-19,145,7
2025-05-19,145,8
2025-05-19,150,5
2025-06-04,135,15
2025-06-04,135,12
2025-06-04,115,10
2025-07-14,135,15
2025-07-14,145,12
2025-07-14,150,8
2025-07-21,150,12
2025-07-21,150,8
2025-07-21,145,8
2025-08-05,150,12
2025-08-05,150,10
2025-08-05,155,9
2025-08-11,155,12
2025-08-11,160,7
2025-08-11,160,8
2025-08-18,160,8
2025-08-18,160,9
2025-09-03,155,9
2025-09-03,155,9
2025-09-03,155,9
2025-09-08,160,10
2025-09-08,160,9
2025-09-08,160,10
2025-09-15,160,12
2025-09-15,160,10
2025-09-15,160,8
2025-09-22,165,10
2025-09-22,165,10
2025-09-22,165,7
2025-09-29,165,10
2025-09-29,165,9
2025-09-29,155,9
2025-10-06,170,9
2025-10-06,170,10
2025-10-06,170,8
2025-10-13,170,11
2025-10-13,170,10
2025-10-13,170,7
2025-10-21,170,11
2025-10-21,170,7
2025-10-21,165,3
2025-10-27,170,11
2025-10-27,170,10
2025-10-27,170,8
2025-11-03,170,14
2025-11-03,170,9
2025-11-03,170,6
2025-11-10,170,11
2025-11-10,170,7
2025-11-10,165,7
2025-11-17,170,9
2025-11-17,170,9
2025-11-17,160,9
2025-12-03,170,10
2025-12-03,170,7
2025-12-03,155,8
2025-12-08,170,15
2025-12-08,175,10
2025-12-08,170,10
2026-01-13,170,11
2026-01-13,175,7
2026-01-13,170,8
2026-01-20,175,13
2026-01-20,180,8
2026-01-20,175,9
2026-01-27,180,11
2026-01-27,180,9
2026-01-27,175,9
2026-02-02,180,12
2026-02-02,180,11
2026-02-02,180,8
2026-02-09,175,10
2026-02-09,175,8
2026-02-23,180,13
2026-02-23,180,10
2026-02-23,180,8
2026-03-02,185,14
2026-03-02,185,11
2026-03-02,185,8
2026-03-09,185,5
2026-03-09,185,7
2026-03-09,180,8
2026-03-16,185,8
2026-03-16,185,7
2026-03-16,165,8
2026-03-23,180,9
2026-03-23,175,10
2026-04-20,180,12
2026-04-20,180,7
2026-04-20,165,8
2026-06-22,175,13
2026-06-22,185,8
2026-06-22,165,8
2026-07-13,155,14
2026-08-03,180,9
2026-08-03,180,8
2026-08-03,175,7
2026-09-01,165,12
2026-09-01,175,12
2026-09-01,175,8
2026-09-08,165,10
2026-09-08,165,13
