Date,Weight,Reps
2025-04-23,20,15
2025-04-23,20,14
2025-04-23,20,11
2025-04-23,15,14
2025-04-30,20,15
2025-04-30,20,15
2025-04-30,20,14
2025-05-07,20,10
2025-05-07,20,17
2025-05-07,20,15
2025-05-13,20,15
2025-05-13,20,15
2025-05-13,20,13
2025-05-13,20,12
2025-06-05,25,14
2025-06-05,25,13
2025-06-05,25,10
2025-06-05,25,10
2025-06-11,25,18
2025-06-11,25,14
2025-06-11,25,14
2025-06-11,25,10
2025-06-18,30,8
2025-06-18,25,13
2025-06-18,25,11
2025-06-18,25,12
2025-07-19,20,20
2025-07-19,20,15
2025-07-19,20,16
2025-07-19,20,12
2025-07-23,25,10
2025-07-23,25,8
2025-07-23,25,7
2025-07-23,20,4
2025-08-12,25,13
2025-08-12,25,12
2025-08-12,25,13
2025-08-22,30,12
2025-08-22,30,9
2025-09-05,25,15
2025-09-12,30,12
2025-09-12,30,9
2025-09-16,30,13
2025-09-16,30,13
2025-09-16,30,12
2025-09-19,30,15
2025-10-01,30,15
2025-10-01,30,14
2025-10-01,30,9
2025-10-17,30,19
2025-10-17,30,13
2025-10-17,30,11
2025-11-02,20,14
2025-11-02,30,18
2025-11-02,30,13
2025-11-02,30,12
2025-11-08,30,17
2025-11-08,30,13
2025-11-08,30,14
2025-11-23,35,13
2025-11-23,35,14
2025-11-23,35,13
2025-12-04,35,13
2025-12-04,40,7
2025-12-04,40,6
2025-12-04,35,4
2025-12-20,40,11
2025-12-20,40,9
2025-12-20,40,9
2026-01-02,25,5
2026-01-02,40,9
2026-01-02,40,6
2026-01-02,35,10
2026-01-15,25,10
2026-01-15,40,9
2026-01-15,40,8
2026-01-15,25,10
2026-01-15,40,9
2026-01-15,40,8
2026-01-23,25,10
2026-01-23,30,6
2026-01-23,40,10
2026-01-23,40,9
2026-01-23,40,7
2026-01-30,25,12
2026-01-30,30,7
2026-01-30,40,10
2026-01-30,40,9
2026-01-30,40,9
2026-02-03,35,15
2026-02-03,35,12
2026-02-05,25,12
2026-02-05,40,10
2026-02-05,40,9
2026-02-05,40,7
2026-02-10,25,12
2026-02-10,40,9
2026-02-10,40,9
2026-02-10,40,7
2026-02-12,20,12
2026-02-12,30,8
2026-02-12,40,11
2026-02-12,40,9
2026-02-12,40,8
2026-03-19,5,12
2026-03-19,15,10
2026-03-19,25,8
2026-03-19,35,12
2026-03-19,35,12
2026-03-19,35,10
2026-03-26,5,12
2026-03-26,15,10
2026-03-26,25,8
2026-03-26,35,13
2026-03-26,35,13
2026-03-26,35,11
2026-04-06,15,10
2026-04-06,25,5
2026-04-06,35,10
2026-04-06,35,9
2026-04-06,30,11
2026-04-20,25,8
2026-04-20,35,11
2026-04-20,35,9
2026-04-20,35,8
2026-04-27,25,10
2026-04-27,35,7
2026-04-27,35,12
2026-04-27,35,10
2026-05-04,25,9
2026-05-04,35,10
2026-05-04,35,8
2026-05-04,35,8
2026-05-04,25,9
2026-05-04,35,10
2026-05-04,35,8
2026-05-04,35,8
2026-05-18,25,9
2026-05-18,35,10
2026-05-18,35,11
2026-05-18,35,9
2026-06-01,25,10
2026-06-01,35,10
2026-06-01,35,8
2026-06-01,35,7
2026-06-01,25,10
2026-06-01,35,10
2026-06-01,35,8
2026-06-01,35,7
2026-06-09,25,10
2026-06-09,30,10
2026-06-09,30,10
2026-06-09,30,8
2026-06-16,5,6
2026-06-16,20,5
2026-06-16,25,3
2026-06-16,30,16
2026-06-16,30,13
2026-06-16,30,12
2026-06-22,20,5
2026-06-22,25,3
2026-06-22,30,16
2026-06-22,30,13
2026-06-22,30,8
2026-06-30,20,5
2026-06-30,25,3
2026-06-30,30,13
2026-06-30,30,12
2026-06-30,30,12
2026-07-13,20,7
2026-07-13,25,3
2026-07-13,30,10
2026-07-13,30,8
2026-07-13,30,8
2026-07-20,20,7
2026-07-20,25,3
2026-07-20,30,10
2026-07-20,30,11
2026-07-20,30,11
2026-07-28,20,7
2026-07-28,25,3
2026-07-28,30,12
2026-07-28,30,11
2026-07-28,30,8
2026-07-28,20,7
2026-07-28,25,3
2026-07-28,30,12
2026-07-28,30,11
2026-07-28,30,8
2026-08-03,20,7
2026-08-03,25,5
2026-08-03,30,15
2026-08-03,30,13
2026-08-03,30,11
2026-08-12,20,9
2026-08-12,25,5
2026-08-12,30,12
2026-08-12,30,10
2026-08-25,20,9
2026-08-25,25,5
2026-08-25,30,14
2026-08-25,30,11
2026-08-25,30,9
2026-09-01,12.5,3
2026-09-01,35,8
2026-09-01,35,12
2026-09-08,12.5,3
2026-09-08,22.5,7
2026-09-08,35,10
2026-09-08,35,12
